Country,Measure Names,month_year,Latitude (generated),Longitude (generated),Value
Egypt,No Measure Value,2001-08,26.16,28.742,669.458065
Colombia,No Measure Value,2001-08,3.794,-73.606,699.042
Brazil,No Measure Value,2001-08,-11.694,-48.978,1285.966871
Argentina,No Measure Value,2001-08,-33.166,-64.31,775.023752
Algeria,No Measure Value,2001-08,28.6045,2.64,832
United States,No Measure Value,2001-09,40.0792,-98.8164,5709
United Kingdom,No Measure Value,2001-09,52.289,-1.259,2168.779044
Sudan,No Measure Value,2001-09,15.739,29.533,210
Saudi Arabia,No Measure Value,2001-09,24.191,44.32,7470
Papua New Guinea,No Measure Value,2001-09,-5.636,142.798,60
Oman,No Measure Value,2001-09,19.85,56.25,925
Norway,No Measure Value,2001-09,61.3701,9.3031,3109
Nigeria,No Measure Value,2001-09,9.3417,7.678,2395
Mexico,No Measure Value,2001-09,22.925,-101.68,3177.362091
Kuwait,No Measure Value,2001-09,29.3169,47.4272,1650
Kazakhstan,No Measure Value,2001-09,48.866,69.772,719.94
Iraq,No Measure Value,2001-09,33.545,43.278,2545.25929
Iran,No Measure Value,2001-09,33.408,54.0418,3645
Indonesia,No Measure Value,2001-09,-0.739,114.045,1206
Egypt,No Measure Value,2001-09,26.16,28.742,675.023333
Colombia,No Measure Value,2001-09,3.794,-73.606,697.64
Brazil,No Measure Value,2001-09,-11.694,-48.978,1304.7761
Argentina,No Measure Value,2001-09,-33.166,-64.31,794.543518
Algeria,No Measure Value,2001-09,28.6045,2.64,825
United States,No Measure Value,2001-10,40.0792,-98.8164,5746
United Kingdom,No Measure Value,2001-10,52.289,-1.259,2322.302249
Sudan,No Measure Value,2001-10,15.739,29.533,210
Saudi Arabia,No Measure Value,2001-10,24.191,44.32,7350
Papua New Guinea,No Measure Value,2001-10,-5.636,142.798,60
Oman,No Measure Value,2001-10,19.85,56.25,939
Norway,No Measure Value,2001-10,61.3701,9.3031,3274
Nigeria,No Measure Value,2001-10,9.3417,7.678,2360
Mexico,No Measure Value,2001-10,22.925,-101.68,2992.544525
Kuwait,No Measure Value,2001-10,29.3169,47.4272,1630
Kazakhstan,No Measure Value,2001-10,48.866,69.772,759.26
Iraq,No Measure Value,2001-10,33.545,43.278,2926.542194
Iran,No Measure Value,2001-10,33.408,54.0418,3540
Indonesia,No Measure Value,2001-10,-0.739,114.045,1206
Egypt,No Measure Value,2001-10,26.16,28.742,677.832032
Colombia,No Measure Value,2001-10,3.794,-73.606,596.085
Brazil,No Measure Value,2001-10,-11.694,-48.978,1178.144097
Argentina,No Measure Value,2001-10,-33.166,-64.31,765.479407
Algeria,No Measure Value,2001-10,28.6045,2.64,805
United States,No Measure Value,2001-11,40.0792,-98.8164,5881
United Kingdom,No Measure Value,2001-11,52.289,-1.259,2341.888395
Sudan,No Measure Value,2001-11,15.739,29.533,210
Saudi Arabia,No Measure Value,2001-11,24.191,44.32,7390
Papua New Guinea,No Measure Value,2001-11,-5.636,142.798,60
Oman,No Measure Value,2001-11,19.85,56.25,929
Norway,No Measure Value,2001-11,61.3701,9.3031,3126
Nigeria,No Measure Value,2001-11,9.3417,7.678,2295
Mexico,No Measure Value,2001-11,22.925,-101.68,3167.527283
Kuwait,No Measure Value,2001-11,29.3169,47.4272,1620
Kazakhstan,No Measure Value,2001-11,48.866,69.772,854.01
Iraq,No Measure Value,2001-11,33.545,43.278,2724.740133
Iran,No Measure Value,2001-11,33.408,54.0418,3540
Indonesia,No Measure Value,2001-11,-0.739,114.045,1201
Egypt,No Measure Value,2001-11,26.16,28.742,684.393667
Colombia,No Measure Value,2001-11,3.794,-73.606,580.303
Brazil,No Measure Value,2001-11,-11.694,-48.978,1338.5597
Argentina,No Measure Value,2001-11,-33.166,-64.31,792.27336
Algeria,No Measure Value,2001-11,28.6045,2.64,810
United States,No Measure Value,2001-12,40.0792,-98.8164,5887
United Kingdom,No Measure Value,2001-12,52.289,-1.259,2436.924203
Sudan,No Measure Value,2001-12,15.739,29.533,210
Saudi Arabia,No Measure Value,2001-12,24.191,44.32,7300
Papua New Guinea,No Measure Value,2001-12,-5.636,142.798,60
Oman,No Measure Value,2001-12,19.85,56.25,944
Norway,No Measure Value,2001-12,61.3701,9.3031,3245
Nigeria,No Measure Value,2001-12,9.3417,7.678,2299.718894
Mexico,No Measure Value,2001-12,22.925,-101.68,3274.28064
Kuwait,No Measure Value,2001-12,29.3169,47.4272,1620
Kazakhstan,No Measure Value,2001-12,48.866,69.772,871.31
Iraq,No Measure Value,2001-12,33.545,43.278,2005.773419
Iran,No Measure Value,2001-12,33.408,54.0418,3500
Indonesia,No Measure Value,2001-12,-0.739,114.045,1201
Egypt,No Measure Value,2001-12,26.16,28.742,684.931935
Colombia,No Measure Value,2001-12,3.794,-73.606,664.777
Brazil,No Measure Value,2001-12,-11.694,-48.978,1422.679387
Argentina,No Measure Value,2001-12,-33.166,-64.31,782.20903
Algeria,No Measure Value,2001-12,28.6045,2.64,810
United States,No Measure Value,2002-01,40.0792,-98.8164,5873
United Kingdom,No Measure Value,2002-01,52.289,-1.259,2327.281561
Sudan,No Measure Value,2002-01,15.739,29.533,221
Saudi Arabia,No Measure Value,2002-01,24.191,44.32,6858
Papua New Guinea,No Measure Value,2002-01,-5.636,142.798,52
Oman,No Measure Value,2002-01,19.85,56.25,934.677419
Norway,No Measure Value,2002-01,61.3701,9.3031,3079
Nigeria,No Measure Value,2002-01,9.3417,7.678,2160
