Country,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Thailand,2023,October,Billion Cubic Meter,3.75181
Taiwan,2023,October,Billion Cubic Meter,2.23888023
South Korea,2023,October,Billion Cubic Meter,4.065448
Singapore,2023,October,Billion Cubic Meter,1.06352
Philippines,2023,October,Billion Cubic Meter,0.303
Pakistan,2023,October,Billion Cubic Meter,2.410580531
New Zealand,2023,October,Billion Cubic Meter,0.290730233
Malaysia,2023,October,Billion Cubic Meter,3.686622293
Japan,2023,October,Billion Cubic Meter,6.33817544
Indonesia,2023,October,Billion Cubic Meter,3.52
India,2023,October,Billion Cubic Meter,5.764151214
China,2023,October,Billion Cubic Meter,30.817902226
Bangladesh,2023,October,Billion Cubic Meter,2.17736238
Australia,2023,October,Billion Cubic Meter,2.456920392
Vietnam,2023,November,Billion Cubic Meter,0.6552
Thailand,2023,November,Billion Cubic Meter,3.62994
Taiwan,2023,November,Billion Cubic Meter,2.170255678
South Korea,2023,November,Billion Cubic Meter,5.302504
Singapore,2023,November,Billion Cubic Meter,1.17232
Philippines,2023,November,Billion Cubic Meter,0.337
Pakistan,2023,November,Billion Cubic Meter,1.361760111
New Zealand,2023,November,Billion Cubic Meter,0.259640801
Malaysia,2023,November,Billion Cubic Meter,3.424158465
Japan,2023,November,Billion Cubic Meter,7.44230228
Indonesia,2023,November,Billion Cubic Meter,2.939999999
India,2023,November,Billion Cubic Meter,5.407662431
China,2023,November,Billion Cubic Meter,34.55192847
Bangladesh,2023,November,Billion Cubic Meter,2.115147661
Australia,2023,November,Billion Cubic Meter,2.446744634
Vietnam,2023,December,Billion Cubic Meter,0.684
Thailand,2023,December,Billion Cubic Meter,3.58151
Taiwan,2023,December,Billion Cubic Meter,2.314
South Korea,2023,December,Billion Cubic Meter,6.820825136
Singapore,2023,December,Billion Cubic Meter,1.088
Philippines,2023,December,Billion Cubic Meter,0.306
Pakistan,2023,December,Billion Cubic Meter,2.214482142
New Zealand,2023,December,Billion Cubic Meter,0.29198558
Malaysia,2023,December,Billion Cubic Meter,3.184003577
Japan,2023,December,Billion Cubic Meter,8.81719268
Indonesia,2023,December,Billion Cubic Meter,2.818999999
India,2023,December,Billion Cubic Meter,5.635396826
China,2023,December,Billion Cubic Meter,37.754639626
Bangladesh,2023,December,Billion Cubic Meter,2.16530941
Australia,2023,December,Billion Cubic Meter,2.467109292
Vietnam,2022,January,Billion Cubic Meter,0.702
Thailand,2022,January,Billion Cubic Meter,3.54816
Taiwan,2022,January,Billion Cubic Meter,2.246
South Korea,2022,January,Billion Cubic Meter,7.4358
Singapore,2022,January,Billion Cubic Meter,1.326
Philippines,2022,January,Billion Cubic Meter,0.302
Pakistan,2022,January,Billion Cubic Meter,1.836509208
New Zealand,2022,January,Billion Cubic Meter,0.332558159
Malaysia,2022,January,Billion Cubic Meter,3.299684581
Japan,2022,January,Billion Cubic Meter,11.13039504
Indonesia,2022,January,Billion Cubic Meter,3.224
India,2022,January,Billion Cubic Meter,4.867070671
China,2022,January,Billion Cubic Meter,31.098854288
Bangladesh,2022,January,Billion Cubic Meter,2.188399379
Australia,2022,January,Billion Cubic Meter,2.330424791
Vietnam,2022,February,Billion Cubic Meter,0.663
Thailand,2022,February,Billion Cubic Meter,3.46168
Taiwan,2022,February,Billion Cubic Meter,1.87
South Korea,2022,February,Billion Cubic Meter,6.55044
Singapore,2022,February,Billion Cubic Meter,0.74392
Philippines,2022,February,Billion Cubic Meter,0.264
Pakistan,2022,February,Billion Cubic Meter,2.083229313
New Zealand,2022,February,Billion Cubic Meter,0.308974399
Malaysia,2022,February,Billion Cubic Meter,2.919
Japan,2022,February,Billion Cubic Meter,10.61651416
Indonesia,2022,February,Billion Cubic Meter,2.661000001
India,2022,February,Billion Cubic Meter,4.54485898
China,2022,February,Billion Cubic Meter,31.292
