Country,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Taiwan,2019,February,Billion Cubic Meter,1.472
South Korea,2019,February,Billion Cubic Meter,5.559952
Singapore,2019,February,Billion Cubic Meter,0.96968
Philippines,2019,February,Billion Cubic Meter,0.338
Pakistan,2019,February,Billion Cubic Meter,2.311950829
New Zealand,2019,February,Billion Cubic Meter,0.305284672
Malaysia,2019,February,Billion Cubic Meter,2.841888183
Japan,2019,February,Billion Cubic Meter,10.539471919
Indonesia,2019,February,Billion Cubic Meter,2.547
India,2019,February,Billion Cubic Meter,4.314617465
China,2019,February,Billion Cubic Meter,23.103726907
Bangladesh,2019,February,Billion Cubic Meter,2.202916721
Australia,2019,February,Billion Cubic Meter,1.998330681
Vietnam,2019,March,Billion Cubic Meter,0.8134
Thailand,2019,March,Billion Cubic Meter,4.33732
Taiwan,2019,March,Billion Cubic Meter,1.724039543
South Korea,2019,March,Billion Cubic Meter,5.192616
Singapore,2019,March,Billion Cubic Meter,1.175040001
Philippines,2019,March,Billion Cubic Meter,0.393
Pakistan,2019,March,Billion Cubic Meter,3.154062014
New Zealand,2019,March,Billion Cubic Meter,0.364079184
Malaysia,2019,March,Billion Cubic Meter,3.16753464
Japan,2019,March,Billion Cubic Meter,10.21152096
Indonesia,2019,March,Billion Cubic Meter,3.037
India,2019,March,Billion Cubic Meter,5.089021178
China,2019,March,Billion Cubic Meter,24.445751805
Bangladesh,2019,March,Billion Cubic Meter,2.658662257
Australia,2019,March,Billion Cubic Meter,2.160691335
Vietnam,2019,April,Billion Cubic Meter,0.7938
Thailand,2019,April,Billion Cubic Meter,4.23393
Taiwan,2019,April,Billion Cubic Meter,1.855524347
South Korea,2019,April,Billion Cubic Meter,4.51384
Singapore,2019,April,Billion Cubic Meter,1.33824
Philippines,2019,April,Billion Cubic Meter,0.411
Pakistan,2019,April,Billion Cubic Meter,4.06099211
New Zealand,2019,April,Billion Cubic Meter,0.369304208
Malaysia,2019,April,Billion Cubic Meter,2.93407429
Japan,2019,April,Billion Cubic Meter,9.19551056
Indonesia,2019,April,Billion Cubic Meter,3.016
India,2019,April,Billion Cubic Meter,5.022781088
China,2019,April,Billion Cubic Meter,24.450161712
Bangladesh,2019,April,Billion Cubic Meter,2.455283399
Australia,2019,April,Billion Cubic Meter,2.243256492
Vietnam,2019,May,Billion Cubic Meter,0.7644
Thailand,2019,May,Billion Cubic Meter,4.4014
Taiwan,2019,May,Billion Cubic Meter,1.784
South Korea,2019,May,Billion Cubic Meter,3.703824
Singapore,2019,May,Billion Cubic Meter,1.238960001
Philippines,2019,May,Billion Cubic Meter,0.415
Pakistan,2019,May,Billion Cubic Meter,4.821455912
New Zealand,2019,May,Billion Cubic Meter,0.348289256
Malaysia,2019,May,Billion Cubic Meter,3.63777424
Japan,2019,May,Billion Cubic Meter,7.81804752
Indonesia,2019,May,Billion Cubic Meter,3.194
India,2019,May,Billion Cubic Meter,5.023924795
China,2019,May,Billion Cubic Meter,24.651174951
Bangladesh,2019,May,Billion Cubic Meter,2.609921479
Australia,2019,May,Billion Cubic Meter,2.602935812
Vietnam,2019,June,Billion Cubic Meter,0.7448
Thailand,2019,June,Billion Cubic Meter,4.18636
Taiwan,2019,June,Billion Cubic Meter,1.679
South Korea,2019,June,Billion Cubic Meter,3.314184
Singapore,2019,June,Billion Cubic Meter,0.99688
Philippines,2019,June,Billion Cubic Meter,0.412
Pakistan,2019,June,Billion Cubic Meter,4.662913509
New Zealand,2019,June,Billion Cubic Meter,0.395257573
Malaysia,2019,June,Billion Cubic Meter,3.447525566
Japan,2019,June,Billion Cubic Meter,7.635099279
Indonesia,2019,June,Billion Cubic Meter,2.963
India,2019,June,Billion Cubic Meter,5.30991074
China,2019,June,Billion Cubic Meter,24.08223509
Bangladesh,2019,June,Billion Cubic Meter,2.60470584
Australia,2019,June,Billion Cubic Meter,2.733234135
Vietnam,2019,July,Billion Cubic Meter,0.735
Thailand,2019,July,Billion Cubic Meter,4.20916
Taiwan,2019,July,Billion Cubic Meter,2.023
South Korea,2019,July,Billion Cubic Meter,3.859952
Singapore,2019,July,Billion Cubic Meter,1.07168
Philippines,2019,July,Billion Cubic Meter,0.377
Pakistan,2019,July,Billion Cubic Meter,4.410902204
New Zealand,2019,July,Billion Cubic Meter,0.415129432
Malaysia,2019,July,Billion Cubic Meter,3.03121647
Japan,2019,July,Billion Cubic Meter,8.48541272
Indonesia,2019,July,Billion Cubic Meter,3.139
India,2019,July,Billion Cubic Meter,4.960818267
China,2019,July,Billion Cubic Meter,24.482375559
Bangladesh,2019,July,Billion Cubic Meter,2.494445477
Australia,2019,July,Billion Cubic Meter,2.751604581
Vietnam,2019,August,Billion Cubic Meter,0.7546
Thailand,2019,August,Billion Cubic Meter,4.0371
Taiwan,2019,August,Billion Cubic Meter,1.878
South Korea,2019,August,Billion Cubic Meter,3.843224
Singapore,2019,August,Billion Cubic Meter,1.101599999
Philippines,2019,August,Billion Cubic Meter,0.306
Pakistan,2019,August,Billion Cubic Meter,4.145193893
New Zealand,2019,August,Billion Cubic Meter,0.435394132
Malaysia,2019,August,Billion Cubic Meter,3.055263727
Japan,2019,August,Billion Cubic Meter,9.08293704
Indonesia,2019,August,Billion Cubic Meter,2.923999999
India,2019,August,Billion Cubic Meter,5.505918423
China,2019,August,Billion Cubic Meter,25.062400158
Bangladesh,2019,August,Billion Cubic Meter,2.594071092
Australia,2019,August,Billion Cubic Meter,2.842674319
Vietnam,2019,September,Billion Cubic Meter,0.8134
Thailand,2019,September,Billion Cubic Meter,3.96209
Taiwan,2019,September,Billion Cubic Meter,1.769
South Korea,2019,September,Billion Cubic Meter,3.30548
Singapore,2019,September,Billion Cubic Meter,1.096160001
Philippines,2019,September,Billion Cubic Meter,0.336
Pakistan,2019,September,Billion Cubic Meter,3.804440597
New Zealand,2019,September,Billion Cubic Meter,0.42073332
Malaysia,2019,September,Billion Cubic Meter,2.946009043
Japan,2019,September,Billion Cubic Meter,8.70750784
Indonesia,2019,September,Billion Cubic Meter,3.02
India,2019,September,Billion Cubic Meter,5.061422008
China,2019,September,Billion Cubic Meter,24.634394339
Bangladesh,2019,September,Billion Cubic Meter,2.53049552
Australia,2019,September,Billion Cubic Meter,2.533777958
Vietnam,2019,October,Billion Cubic Meter,0.8428
Thailand,2019,October,Billion Cubic Meter,4.19423
Taiwan,2019,October,Billion Cubic Meter,1.946
South Korea,2019,October,Billion Cubic Meter,3.756456
Singapore,2019,October,Billion Cubic Meter,0.942480001
Philippines,2019,October,Billion Cubic Meter,0.311
Pakistan,2019,October,Billion Cubic Meter,3.053116618
New Zealand,2019,October,Billion Cubic Meter,0.427652204
Malaysia,2019,October,Billion Cubic Meter,2.994846174
Japan,2019,October,Billion Cubic Meter,9.00667048
Indonesia,2019,October,Billion Cubic Meter,2.904999999
India,2019,October,Billion Cubic Meter,5.406160601
China,2019,October,Billion Cubic Meter,23.383226463
Bangladesh,2019,October,Billion Cubic Meter,2.560129852
Australia,2019,October,Billion Cubic Meter,2.475398508
Vietnam,2019,November,Billion Cubic Meter,0.8918
Thailand,2019,November,Billion Cubic Meter,4.18212
Taiwan,2019,November,Billion Cubic Meter,2.054
South Korea,2019,November,Billion Cubic Meter,5.060968
Singapore,2019,November,Billion Cubic Meter,1.08528
Philippines,2019,November,Billion Cubic Meter,0.345
Pakistan,2019,November,Billion Cubic Meter,1.16993974
New Zealand,2019,November,Billion Cubic Meter,0.371974625
Malaysia,2019,November,Billion Cubic Meter,3.50561128
Japan,2019,November,Billion Cubic Meter,8.88772048
Indonesia,2019,November,Billion Cubic Meter,2.874999999
India,2019,November,Billion Cubic Meter,5.076551999
China,2019,November,Billion Cubic Meter,27.866983427
Bangladesh,2019,November,Billion Cubic Meter,2.420219805
Australia,2019,November,Billion Cubic Meter,2.314755733
Vietnam,2019,December,Billion Cubic Meter,0.931
Thailand,2019,December,Billion Cubic Meter,3.80799
Taiwan,2019,December,Billion Cubic Meter,1.941
South Korea,2019,December,Billion Cubic Meter,6.804488
Singapore,2019,December,Billion Cubic Meter,1.013199999
Philippines,2019,December,Billion Cubic Meter,0.358
Pakistan,2019,December,Billion Cubic Meter,1.935639632
New Zealand,2019,December,Billion Cubic Meter,0.367555972
Malaysia,2019,December,Billion Cubic Meter,3.199056963
Japan,2019,December,Billion Cubic Meter,9.25011064
Indonesia,2019,December,Billion Cubic Meter,2.891
India,2019,December,Billion Cubic Meter,4.980884482
China,2019,December,Billion Cubic Meter,28.913822338
Bangladesh,2019,December,Billion Cubic Meter,2.490693544
Australia,2019,December,Billion Cubic Meter,2.348834948
