Month of Date,Target Country,Point,flows_bcm
May 2025,France,Fos (Tonkin/Cavaou),1.104794502
June 2025,France,Fos (Tonkin/Cavaou),0.610447161
July 2025,France,Fos (Tonkin/Cavaou),0.467139032
August 2025,France,Fos (Tonkin/Cavaou),0.585491195
September 2025,France,Fos (Tonkin/Cavaou),0.309936732
October 2025,France,Fos (Tonkin/Cavaou),0.494282317
November 2025,France,Fos (Tonkin/Cavaou),0.602968054
December 2025,France,Fos (Tonkin/Cavaou),0.484729571
January 2026,France,Fos (Tonkin/Cavaou),0.058533555
January 2021,France,Dunkerque LNG / PEG North,0.069853865
February 2021,France,Dunkerque LNG / PEG North,0.276211458
March 2021,France,Dunkerque LNG / PEG North,0.923402046
April 2021,France,Dunkerque LNG / PEG North,1.047981687
May 2021,France,Dunkerque LNG / PEG North,0.89872089
June 2021,France,Dunkerque LNG / PEG North,0.326664477
July 2021,France,Dunkerque LNG / PEG North,0.355304905
August 2021,France,Dunkerque LNG / PEG North,0.08482209
September 2021,France,Dunkerque LNG / PEG North,0.111770784
October 2021,France,Dunkerque LNG / PEG North,0.148110935
November 2021,France,Dunkerque LNG / PEG North,0.254495837
December 2021,France,Dunkerque LNG / PEG North,0.478263233
January 2022,France,Dunkerque LNG / PEG North,1.152253024
February 2022,France,Dunkerque LNG / PEG North,0.987659018
March 2022,France,Dunkerque LNG / PEG North,1.310150995
April 2022,France,Dunkerque LNG / PEG North,1.336079685
May 2022,France,Dunkerque LNG / PEG North,1.28167252
June 2022,France,Dunkerque LNG / PEG North,0.922889979
July 2022,France,Dunkerque LNG / PEG North,1.071399133
August 2022,France,Dunkerque LNG / PEG North,1.031332642
September 2022,France,Dunkerque LNG / PEG North,0.889447575
October 2022,France,Dunkerque LNG / PEG North,1.2180119
November 2022,France,Dunkerque LNG / PEG North,1.227328834
December 2022,France,Dunkerque LNG / PEG North,1.259859277
January 2023,France,Dunkerque LNG / PEG North,1.04395864
February 2023,France,Dunkerque LNG / PEG North,0.997627391
March 2023,France,Dunkerque LNG / PEG North,0.903184345
April 2023,France,Dunkerque LNG / PEG North,1.325715577
May 2023,France,Dunkerque LNG / PEG North,1.052276497
June 2023,France,Dunkerque LNG / PEG North,1.169271655
July 2023,France,Dunkerque LNG / PEG North,0.75044016
August 2023,France,Dunkerque LNG / PEG North,0.572687904
September 2023,France,Dunkerque LNG / PEG North,0.820211646
October 2023,France,Dunkerque LNG / PEG North,0.884943676
November 2023,France,Dunkerque LNG / PEG North,1.152933098
December 2023,France,Dunkerque LNG / PEG North,1.011213875
January 2024,France,Dunkerque LNG / PEG North,1.110935665
February 2024,France,Dunkerque LNG / PEG North,1.16757088
March 2024,France,Dunkerque LNG / PEG North,0.94731139
April 2024,France,Dunkerque LNG / PEG North,1.184728588
May 2024,France,Dunkerque LNG / PEG North,1.035406088
June 2024,France,Dunkerque LNG / PEG North,0.678686306
July 2024,France,Dunkerque LNG / PEG North,0.86565269
August 2024,France,Dunkerque LNG / PEG North,0.649028684
September 2024,France,Dunkerque LNG / PEG North,0.811799075
October 2024,France,Dunkerque LNG / PEG North,1.12709538
November 2024,France,Dunkerque LNG / PEG North,1.037224286
December 2024,France,Dunkerque LNG / PEG North,0.937904419
January 2025,France,Dunkerque LNG / PEG North,1.146680294
February 2025,France,Dunkerque LNG / PEG North,1.305472164
March 2025,France,Dunkerque LNG / PEG North,1.400456947
April 2025,France,Dunkerque LNG / PEG North,1.430715742
May 2025,France,Dunkerque LNG / PEG North,1.40700778
June 2025,France,Dunkerque LNG / PEG North,0.83452729
July 2025,France,Dunkerque LNG / PEG North,0.691559701
August 2025,France,Dunkerque LNG / PEG North,0.852366522
September 2025,France,Dunkerque LNG / PEG North,1.070362651
October 2025,France,Dunkerque LNG / PEG North,1.476738408
November 2025,France,Dunkerque LNG / PEG North,1.399001248
December 2025,France,Dunkerque LNG / PEG North,1.219282925
January 2026,France,Dunkerque LNG / PEG North,0.31689823
December 2022,Germany,Wilhelmshaven LNG,0.087234785
January 2023,Germany,Wilhelmshaven LNG,0.305555786
February 2023,Germany,Wilhelmshaven LNG,0.346783837
March 2023,Germany,Wilhelmshaven LNG,0.291059924
April 2023,Germany,Wilhelmshaven LNG,0.39956749
May 2023,Germany,Wilhelmshaven LNG,0.369023895
June 2023,Germany,Wilhelmshaven LNG,0.361709663
July 2023,Germany,Wilhelmshaven LNG,0.322220399
August 2023,Germany,Wilhelmshaven LNG,0.386115246
September 2023,Germany,Wilhelmshaven LNG,0.3545949
October 2023,Germany,Wilhelmshaven LNG,0.396025731
November 2023,Germany,Wilhelmshaven LNG,0.359022363
December 2023,Germany,Wilhelmshaven LNG,0.399042486
January 2024,Germany,Wilhelmshaven LNG,0.378867262
February 2024,Germany,Wilhelmshaven LNG,0.292472727
March 2024,Germany,Wilhelmshaven LNG,0.295426814
April 2024,Germany,Wilhelmshaven LNG,0.310095049
May 2024,Germany,Wilhelmshaven LNG,0.395950233
June 2024,Germany,Wilhelmshaven LNG,0.359695043
July 2024,Germany,Wilhelmshaven LNG,0.245340473
August 2024,Germany,Wilhelmshaven LNG,0.21995085
September 2024,Germany,Wilhelmshaven LNG,0.291217979
October 2024,Germany,Wilhelmshaven LNG,0.24933304
November 2024,Germany,Wilhelmshaven LNG,0.16995639
December 2024,Germany,Wilhelmshaven LNG,0.36173118
January 2025,Germany,Wilhelmshaven LNG,0.182992111
February 2025,Germany,Wilhelmshaven LNG,0.096983197
March 2025,Germany,Wilhelmshaven LNG,0.163598129
April 2025,Germany,Wilhelmshaven LNG,0.082734823
February 2023,Germany,Brunsbuettel Hafen FSRU,0
March 2023,Germany,Brunsbuettel Hafen FSRU,0.047556283
April 2023,Germany,Brunsbuettel Hafen FSRU,0.149341416
May 2023,Germany,Brunsbuettel Hafen FSRU,0.145402486
June 2023,Germany,Brunsbuettel Hafen FSRU,0.15291242
July 2023,Germany,Brunsbuettel Hafen FSRU,0.134567119
August 2023,Germany,Brunsbuettel Hafen FSRU,0.131885532
September 2023,Germany,Brunsbuettel Hafen FSRU,0.106385246
October 2023,Germany,Brunsbuettel Hafen FSRU,0.154287603
November 2023,Germany,Brunsbuettel Hafen FSRU,0.159722848
December 2023,Germany,Brunsbuettel Hafen FSRU,0.14934337
January 2024,Germany,Brunsbuettel Hafen FSRU,0.177149721
February 2024,Germany,Brunsbuettel Hafen FSRU,0.09126594
March 2024,Germany,Brunsbuettel Hafen FSRU,0.150346989
April 2024,Germany,Brunsbuettel Hafen FSRU,0.175276838
May 2024,Germany,Brunsbuettel Hafen FSRU,0.210919153
June 2024,Germany,Brunsbuettel Hafen FSRU,0.346774118
July 2024,Germany,Brunsbuettel Hafen FSRU,0.174278081
August 2024,Germany,Brunsbuettel Hafen FSRU,0.096307612
September 2024,Germany,Brunsbuettel Hafen FSRU,0.133272252
October 2024,Germany,Brunsbuettel Hafen FSRU,0.193285993
November 2024,Germany,Brunsbuettel Hafen FSRU,0.117417902
December 2024,Germany,Brunsbuettel Hafen FSRU,0.186792653
January 2025,Germany,Brunsbuettel Hafen FSRU,0.165824563
February 2025,Germany,Brunsbuettel Hafen FSRU,0.15788445
March 2025,Germany,Brunsbuettel Hafen FSRU,0.189886918
April 2025,Germany,Brunsbuettel Hafen FSRU,0.189043835
May 2025,Germany,Brunsbuettel Hafen FSRU,0.213749778
June 2025,Germany,Brunsbuettel Hafen FSRU,0.264228051
July 2025,Germany,Brunsbuettel Hafen FSRU,0.277649035
August 2025,Germany,Brunsbuettel Hafen FSRU,0.28454548
September 2025,Germany,Brunsbuettel Hafen FSRU,0.148672692
October 2025,Germany,Brunsbuettel Hafen FSRU,0
November 2025,Germany,Brunsbuettel Hafen FSRU,0.022309664
December 2025,Germany,Brunsbuettel Hafen FSRU,0.191930851
January 2026,Germany,Brunsbuettel Hafen FSRU,0.038730966
December 2022,Germany,Baltic Energy Gate,0
January 2023,Germany,Baltic Energy Gate,0.040477263
February 2023,Germany,Baltic Energy Gate,0.080219288
March 2023,Germany,Baltic Energy Gate,0.127691179
April 2023,Germany,Baltic Energy Gate,0.108254628
May 2023,Germany,Baltic Energy Gate,0.163524
June 2023,Germany,Baltic Energy Gate,0.139968886
July 2023,Germany,Baltic Energy Gate,0.057790465
August 2023,Germany,Baltic Energy Gate,0.070671739
September 2023,Germany,Baltic Energy Gate,0.06415042
October 2023,Germany,Baltic Energy Gate,0.06863241
