Month of Date,Point,flows_bcm
December 2022,Milford Haven,2.18976274
November 2022,Milford Haven,1.724857487
October 2022,Milford Haven,1.106818103
September 2022,Milford Haven,1.256878852
August 2022,Milford Haven,1.083712656
July 2022,Milford Haven,0.84591234
June 2022,Milford Haven,1.285883853
May 2022,Milford Haven,1.587995811
April 2022,Milford Haven,1.99162476
March 2022,Milford Haven,1.609403845
February 2022,Milford Haven,1.617512941
January 2022,Milford Haven,2.197981973
December 2021,Milford Haven,1.461691116
November 2021,Milford Haven,1.070856828
October 2021,Milford Haven,0.490533022
September 2021,Milford Haven,0.163090725
August 2021,Milford Haven,0.170646008
July 2021,Milford Haven,0.162441364
June 2021,Milford Haven,0.811566941
May 2021,Milford Haven,0.849420728
April 2021,Milford Haven,1.057134824
March 2021,Milford Haven,1.962381618
February 2021,Milford Haven,1.175837911
January 2021,Milford Haven,0.504818611
January 2026,LNG Piombino,0.117356187
December 2025,LNG Piombino,0.375607573
November 2025,LNG Piombino,0.356841864
October 2025,LNG Piombino,0.372761909
September 2025,LNG Piombino,0.371160561
August 2025,LNG Piombino,0.390580926
July 2025,LNG Piombino,0.36079224
June 2025,LNG Piombino,0.369900817
May 2025,LNG Piombino,0.407870242
April 2025,LNG Piombino,0.19437162
March 2025,LNG Piombino,0.365063827
February 2025,LNG Piombino,0.342628724
January 2025,LNG Piombino,0.352761898
December 2024,LNG Piombino,0.378170561
November 2024,LNG Piombino,0.351821847
October 2024,LNG Piombino,0.345994487
September 2024,LNG Piombino,0.318192232
August 2024,LNG Piombino,0.323010571
July 2024,LNG Piombino,0.296084136
June 2024,LNG Piombino,0.14592384
May 2024,LNG Piombino,0.318856499
April 2024,LNG Piombino,0.327528099
March 2024,LNG Piombino,0.320038586
February 2024,LNG Piombino,0.341962353
January 2024,LNG Piombino,0.148192717
December 2023,LNG Piombino,0.344212042
November 2023,LNG Piombino,0.356807308
October 2023,LNG Piombino,0.2576842
September 2023,LNG Piombino,0
August 2023,LNG Piombino,0.008008696
July 2023,LNG Piombino,0.103418777
June 2023,LNG Piombino,0
May 2023,LNG Piombino,0.078471949
April 2023,LNG Piombino,0
March 2023,LNG Piombino,0
February 2023,LNG Piombino,0
January 2026,LNG Panigaglia,0.000528558
December 2025,LNG Panigaglia,0.002949793
November 2025,LNG Panigaglia,0.097941564
October 2025,LNG Panigaglia,0.290219455
September 2025,LNG Panigaglia,0.209302781
August 2025,LNG Panigaglia,0.166051523
July 2025,LNG Panigaglia,0.251541582
June 2025,LNG Panigaglia,0.242667027
May 2025,LNG Panigaglia,0.282223396
April 2025,LNG Panigaglia,0.192430888
March 2025,LNG Panigaglia,0.077547988
February 2025,LNG Panigaglia,0.03803383
January 2025,LNG Panigaglia,0.020830005
December 2024,LNG Panigaglia,0.000894203
November 2024,LNG Panigaglia,0.000890647
October 2024,LNG Panigaglia,0.000884332
September 2024,LNG Panigaglia,0.000753266
August 2024,LNG Panigaglia,0.002075976
July 2024,LNG Panigaglia,0.123794672
June 2024,LNG Panigaglia,0.038047586
May 2024,LNG Panigaglia,0.130795218
April 2024,LNG Panigaglia,0.191553925
March 2024,LNG Panigaglia,0.167286555
February 2024,LNG Panigaglia,0.193427175
January 2024,LNG Panigaglia,0.106934768
December 2023,LNG Panigaglia,0.060352629
November 2023,LNG Panigaglia,0.184007188
October 2023,LNG Panigaglia,0.066685087
September 2023,LNG Panigaglia,0.053081955
August 2023,LNG Panigaglia,0.244149618
July 2023,LNG Panigaglia,0.200800315
June 2023,LNG Panigaglia,0.288953136
May 2023,LNG Panigaglia,0.330263131
April 2023,LNG Panigaglia,0.298924227
March 2023,LNG Panigaglia,0.33351244
February 2023,LNG Panigaglia,0.263339754
January 2023,LNG Panigaglia,0.260879815
December 2022,LNG Panigaglia,0.250204595
November 2022,LNG Panigaglia,0.304637303
October 2022,LNG Panigaglia,0.285583165
September 2022,LNG Panigaglia,0.004995085
August 2022,LNG Panigaglia,0.28557495
July 2022,LNG Panigaglia,0.292119307
June 2022,LNG Panigaglia,0.294853403
May 2022,LNG Panigaglia,0.26187951
April 2022,LNG Panigaglia,0.10997184
March 2022,LNG Panigaglia,0.022719461
February 2022,LNG Panigaglia,0.063686575
January 2022,LNG Panigaglia,0.043986703
December 2021,LNG Panigaglia,0.000402858
November 2021,LNG Panigaglia,0.000428379
October 2021,LNG Panigaglia,0.000458665
September 2021,LNG Panigaglia,0.082998762
August 2021,LNG Panigaglia,0.07458324
July 2021,LNG Panigaglia,0.130510379
June 2021,LNG Panigaglia,0
May 2021,LNG Panigaglia,0.222191334
April 2021,LNG Panigaglia,0.251119522
March 2021,LNG Panigaglia,0.148208473
February 2021,LNG Panigaglia,0.135162573
January 2021,LNG Panigaglia,0.02022333
January 2026,LNG Livorno,0.095521106
December 2025,LNG Livorno,0.374986434
November 2025,LNG Livorno,0.323343028
October 2025,LNG Livorno,0.080255973
September 2025,LNG Livorno,0.395728281
August 2025,LNG Livorno,0.408432289
July 2025,LNG Livorno,0.405662799
June 2025,LNG Livorno,0.401708193
May 2025,LNG Livorno,0.399035659
