Day of Date,Header_Exporter,Gas Origin,Header_Importer,Target Country,Interconnection Point,flows_bcm
"June 25, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.05255981
"June 26, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053834857
"June 27, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.054457524
"June 28, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053169143
"June 29, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.051141905
"June 30, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.04988619
"July 1, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.052314857
"July 2, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053947619
"July 3, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.054487905
"July 4, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053645048
"July 5, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.052178952
"July 6, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.051268286
"July 7, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.050003238
"July 8, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.049940381
"July 9, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.05106981
"July 10, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.051922286
"July 11, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.052883238
"July 12, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.051966381
"July 13, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.050873048
"July 14, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053431524
"July 15, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053501333
"July 16, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.054321143
"July 17, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.054898952
"July 18, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.05496
"July 19, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.055811429
"July 20, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.055906857
"July 21, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.055888381
"July 22, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.054993714
"July 23, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.054155619
"July 24, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053079143
"July 25, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053722
"July 26, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.051880952
"July 27, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.051466762
"July 28, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.05342181
"July 29, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.052646762
"July 30, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.052542857
"July 31, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.052158476
"August 1, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.050781429
"August 2, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.046424857
"August 3, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.041542
"August 4, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.04166619
"August 5, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.042484762
"August 6, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.042894381
"August 7, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.042236762
"August 8, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.04506381
"August 9, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.048821143
"August 10, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.04950819
"August 11, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.046948095
"August 12, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.043241238
