Month of Date,Sector,adjusted_unit,Country,adjusted_unit_value
April 2022,Household,Billion Cubic Meter,*,10.028004526
March 2022,Household,Billion Cubic Meter,*,10.038299906
February 2022,Household,Billion Cubic Meter,*,10.596819362
January 2022,Household,Billion Cubic Meter,*,11.12394363
December 2021,Household,Billion Cubic Meter,*,14.791414839
November 2021,Household,Billion Cubic Meter,*,12.688064052
October 2021,Household,Billion Cubic Meter,*,10.556270863
September 2021,Household,Billion Cubic Meter,*,11.134323413
August 2021,Household,Billion Cubic Meter,*,10.074122426
July 2021,Household,Billion Cubic Meter,*,8.711014727
June 2021,Household,Billion Cubic Meter,*,10.684826988
May 2021,Household,Billion Cubic Meter,*,10.876136429
April 2021,Household,Billion Cubic Meter,*,11.075697726
March 2021,Household,Billion Cubic Meter,*,10.21124553
February 2021,Household,Billion Cubic Meter,*,6.424138917
January 2021,Household,Billion Cubic Meter,*,12.043135374
December 2020,Household,Billion Cubic Meter,*,13.418077834
November 2020,Household,Billion Cubic Meter,*,10.188851927
October 2020,Household,Billion Cubic Meter,*,8.638875296
September 2020,Household,Billion Cubic Meter,*,7.750404308
August 2020,Household,Billion Cubic Meter,*,7.898315514
July 2020,Household,Billion Cubic Meter,*,6.318054576
June 2020,Household,Billion Cubic Meter,*,7.835578459
May 2020,Household,Billion Cubic Meter,*,8.390079074
April 2020,Household,Billion Cubic Meter,*,8.912971084
March 2020,Household,Billion Cubic Meter,*,9.238184978
February 2020,Household,Billion Cubic Meter,*,7.354630869
January 2020,Household,Billion Cubic Meter,*,11.607219666
December 2019,Household,Billion Cubic Meter,*,9.793385746
November 2019,Household,Billion Cubic Meter,*,9.475778044
October 2019,Household,Billion Cubic Meter,*,6.227470196
September 2019,Household,Billion Cubic Meter,*,6.859436215
August 2019,Household,Billion Cubic Meter,*,7.065883006
July 2019,Household,Billion Cubic Meter,*,6.026038221
June 2019,Household,Billion Cubic Meter,*,6.357349356
May 2019,Household,Billion Cubic Meter,*,7.458646343
April 2019,Household,Billion Cubic Meter,*,7.953972431
March 2019,Household,Billion Cubic Meter,*,7.82392874
February 2019,Household,Billion Cubic Meter,*,5.835564826
January 2019,Household,Billion Cubic Meter,*,11.536149958
September 2025,Other,Billion Cubic Meter,*,8.262073337
August 2025,Other,Billion Cubic Meter,*,8.4504825
July 2025,Other,Billion Cubic Meter,*,8.411143749
June 2025,Other,Billion Cubic Meter,*,8.146192357
May 2025,Other,Billion Cubic Meter,*,8.337807713
April 2025,Other,Billion Cubic Meter,*,8.114032123
March 2025,Other,Billion Cubic Meter,*,8.247099039
February 2025,Other,Billion Cubic Meter,*,8.03731903
January 2025,Other,Billion Cubic Meter,*,8.746877151
December 2024,Other,Billion Cubic Meter,*,8.693084266
November 2024,Other,Billion Cubic Meter,*,8.12213354
October 2024,Other,Billion Cubic Meter,*,8.222448563
September 2024,Other,Billion Cubic Meter,*,8.160633781
August 2024,Other,Billion Cubic Meter,*,8.360576674
July 2024,Other,Billion Cubic Meter,*,8.387731548
June 2024,Other,Billion Cubic Meter,*,7.852679354
May 2024,Other,Billion Cubic Meter,*,8.224284848
April 2024,Other,Billion Cubic Meter,*,7.541756754
March 2024,Other,Billion Cubic Meter,*,8.477381493
February 2024,Other,Billion Cubic Meter,*,7.58313996
January 2024,Other,Billion Cubic Meter,*,8.271126035
December 2023,Other,Billion Cubic Meter,*,8.380640939
November 2023,Other,Billion Cubic Meter,*,7.645994915
October 2023,Other,Billion Cubic Meter,*,7.036107801
September 2023,Other,Billion Cubic Meter,*,7.157614651
August 2023,Other,Billion Cubic Meter,*,7.467242169
July 2023,Other,Billion Cubic Meter,*,7.245148475
June 2023,Other,Billion Cubic Meter,*,7.160388276
May 2023,Other,Billion Cubic Meter,*,7.461552702
April 2023,Other,Billion Cubic Meter,*,6.903193545
March 2023,Other,Billion Cubic Meter,*,7.379004967
February 2023,Other,Billion Cubic Meter,*,6.55119282
January 2023,Other,Billion Cubic Meter,*,7.009671586
December 2022,Other,Billion Cubic Meter,*,7.522229627
November 2022,Other,Billion Cubic Meter,*,7.020303495
October 2022,Other,Billion Cubic Meter,*,6.470782757
September 2022,Other,Billion Cubic Meter,*,6.697896485
August 2022,Other,Billion Cubic Meter,*,6.543596825
July 2022,Other,Billion Cubic Meter,*,6.645071674
June 2022,Other,Billion Cubic Meter,*,6.598490711
May 2022,Other,Billion Cubic Meter,*,6.915344368
April 2022,Other,Billion Cubic Meter,*,6.548975024
March 2022,Other,Billion Cubic Meter,*,7.186404606
February 2022,Other,Billion Cubic Meter,*,7.318944591
January 2022,Other,Billion Cubic Meter,*,7.437671163
December 2021,Other,Billion Cubic Meter,*,7.724325735
November 2021,Other,Billion Cubic Meter,*,7.136357802
October 2021,Other,Billion Cubic Meter,*,6.676029774
September 2021,Other,Billion Cubic Meter,*,6.735207828
August 2021,Other,Billion Cubic Meter,*,6.750857114
July 2021,Other,Billion Cubic Meter,*,6.438389244
June 2021,Other,Billion Cubic Meter,*,6.788796349
May 2021,Other,Billion Cubic Meter,*,6.714307722
April 2021,Other,Billion Cubic Meter,*,6.684729314
March 2021,Other,Billion Cubic Meter,*,6.838686093
February 2021,Other,Billion Cubic Meter,*,6.018744945
January 2021,Other,Billion Cubic Meter,*,7.154616366
December 2020,Other,Billion Cubic Meter,*,7.058243903
November 2020,Other,Billion Cubic Meter,*,6.50560661
October 2020,Other,Billion Cubic Meter,*,6.343228609
September 2020,Other,Billion Cubic Meter,*,5.986128194
August 2020,Other,Billion Cubic Meter,*,5.848332319
July 2020,Other,Billion Cubic Meter,*,5.564915544
June 2020,Other,Billion Cubic Meter,*,5.85608971
May 2020,Other,Billion Cubic Meter,*,5.931289677
April 2020,Other,Billion Cubic Meter,*,5.86382553
March 2020,Other,Billion Cubic Meter,*,6.155202695
February 2020,Other,Billion Cubic Meter,*,6.232232925
January 2020,Other,Billion Cubic Meter,*,6.600304227
December 2019,Other,Billion Cubic Meter,*,6.63903018
November 2019,Other,Billion Cubic Meter,*,6.468945919
