Month of Date,Sector,adjusted_unit,Country,adjusted_unit_value
July 2019,Household,Gigawatt-hour,*,63273.463535
June 2019,Household,Gigawatt-hour,*,66751.67612
May 2019,Household,Gigawatt-hour,*,78315.720708
April 2019,Household,Gigawatt-hour,*,83508.909285
March 2019,Household,Gigawatt-hour,*,82145.93164
February 2019,Household,Gigawatt-hour,*,61272.811596
January 2019,Household,Gigawatt-hour,*,121128.951252
September 2025,Other,Gigawatt-hour,*,86762.115748
August 2025,Other,Gigawatt-hour,*,88734.868638
July 2025,Other,Gigawatt-hour,*,88315.490534
June 2025,Other,Gigawatt-hour,*,85541.550298
May 2025,Other,Gigawatt-hour,*,87534.610208
April 2025,Other,Gigawatt-hour,*,85129.718917
March 2025,Other,Gigawatt-hour,*,86591.980627
February 2025,Other,Gigawatt-hour,*,84366.786436
January 2025,Other,Gigawatt-hour,*,91923.54435
December 2024,Other,Gigawatt-hour,*,91273.604106
November 2024,Other,Gigawatt-hour,*,85280.097602
October 2024,Other,Gigawatt-hour,*,86332.987438
September 2024,Other,Gigawatt-hour,*,85686.65604
August 2024,Other,Gigawatt-hour,*,87786.069087
July 2024,Other,Gigawatt-hour,*,88069.553526
June 2024,Other,Gigawatt-hour,*,82454.247687
May 2024,Other,Gigawatt-hour,*,86354.985091
April 2024,Other,Gigawatt-hour,*,79188.456951
March 2024,Other,Gigawatt-hour,*,89012.512019
February 2024,Other,Gigawatt-hour,*,79622.95222
January 2024,Other,Gigawatt-hour,*,86845.640894
December 2023,Other,Gigawatt-hour,*,87996.721908
November 2023,Other,Gigawatt-hour,*,80287.237729
October 2023,Other,Gigawatt-hour,*,73880.38678
September 2023,Other,Gigawatt-hour,*,75157.098804
August 2023,Other,Gigawatt-hour,*,78407.119254
July 2023,Other,Gigawatt-hour,*,76074.072189
June 2023,Other,Gigawatt-hour,*,75184.069382
May 2023,Other,Gigawatt-hour,*,78345.274533
April 2023,Other,Gigawatt-hour,*,72483.674827
March 2023,Other,Gigawatt-hour,*,77480.670749
February 2023,Other,Gigawatt-hour,*,68787.524165
January 2023,Other,Gigawatt-hour,*,73601.543189
December 2022,Other,Gigawatt-hour,*,78983.580745
November 2022,Other,Gigawatt-hour,*,73712.232671
October 2022,Other,Gigawatt-hour,*,67943.219156
September 2022,Other,Gigawatt-hour,*,70326.767798
August 2022,Other,Gigawatt-hour,*,68707.766451
July 2022,Other,Gigawatt-hour,*,69774.347999
June 2022,Other,Gigawatt-hour,*,69285.257537
May 2022,Other,Gigawatt-hour,*,72612.22311
April 2022,Other,Gigawatt-hour,*,68764.23769
March 2022,Other,Gigawatt-hour,*,75456.688089
February 2022,Other,Gigawatt-hour,*,76849.88445
January 2022,Other,Gigawatt-hour,*,78095.542125
December 2021,Other,Gigawatt-hour,*,81105.428159
November 2021,Other,Gigawatt-hour,*,74931.761937
October 2021,Other,Gigawatt-hour,*,70098.319674
September 2021,Other,Gigawatt-hour,*,70719.687194
August 2021,Other,Gigawatt-hour,*,70883.987841
July 2021,Other,Gigawatt-hour,*,67603.087049
June 2021,Other,Gigawatt-hour,*,71282.36749
May 2021,Other,Gigawatt-hour,*,70494.973444
April 2021,Other,Gigawatt-hour,*,70189.659015
March 2021,Other,Gigawatt-hour,*,71806.201809
February 2021,Other,Gigawatt-hour,*,63196.059735
January 2021,Other,Gigawatt-hour,*,75123.474796
December 2020,Other,Gigawatt-hour,*,74111.542116
November 2020,Other,Gigawatt-hour,*,68308.84259
October 2020,Other,Gigawatt-hour,*,66603.904044
September 2020,Other,Gigawatt-hour,*,62854.329331
August 2020,Other,Gigawatt-hour,*,61407.487644
July 2020,Other,Gigawatt-hour,*,58431.62059
June 2020,Other,Gigawatt-hour,*,61494.35613
May 2020,Other,Gigawatt-hour,*,62278.547138
April 2020,Other,Gigawatt-hour,*,61570.109191
March 2020,Other,Gigawatt-hour,*,64629.667026
February 2020,Other,Gigawatt-hour,*,65438.423958
January 2020,Other,Gigawatt-hour,*,69303.157085
December 2019,Other,Gigawatt-hour,*,69709.800437
November 2019,Other,Gigawatt-hour,*,67923.90614
October 2019,Other,Gigawatt-hour,*,63923.295797
September 2019,Other,Gigawatt-hour,*,64401.428821
August 2019,Other,Gigawatt-hour,*,66452.065247
July 2019,Other,Gigawatt-hour,*,61681.03414
June 2019,Other,Gigawatt-hour,*,62840.151926
May 2019,Other,Gigawatt-hour,*,64724.140139
April 2019,Other,Gigawatt-hour,*,64775.443826
March 2019,Other,Gigawatt-hour,*,65184.776702
February 2019,Other,Gigawatt-hour,*,60055.552923
January 2019,Other,Gigawatt-hour,*,69823.065326
