Carbon Intensity,Country,Crude list,Year of YearReported (Custom SQL Query1),ProductionDataValue
Medium,United States,"Thunder Horse, Alaska North Slope, Eagle Ford",2009,909.57
Medium,United Kingdom,Forties Blend,2009,621
Medium,Turkmenistan,Cheleken,2009,45
Medium,Syria,"Syrian Light, Souedieh",2009,278
Medium,Saudi Arabia,Arab Extra Light,2009,1400
Medium,Russia,"Siberian Light, Sokol, Urals",2009,9649
Medium,Qatar,"Dukhan, Qatar Marine",2009,485
Medium,Norway,"Asgard Blend, Oseberg, Troll",2009,605.5
Medium,Nigeria,Amenam Blend,2009,127
Medium,Neutral Zone,Wafra,2009,174
Medium,Libya,Bouri,2009,45
Medium,Iran,Foroozan Blend,2009,300
Medium,Equatorial Guinea,"New Zafiro, Alba Condensate",2009,270
Medium,Ecuador,Napo,2009,117.97
Medium,Denmark,Danish Crude Blend,2009,231.51
Medium,Congo (Brazzaville),Djeno,2009,190
Medium,Colombia,Cusiana,2009,80.3
Medium,Canada,Hibernia,2009,118.22
Medium,Brazil,"Jubarte, Frade, Roncador, Tupi",2009,406.84
Medium,Azerbaijan,Azeri Light,2009,90
Medium,Australia,Gippsland,2009,73
Medium,Argentina,Escalante,2009,159.84
Medium,Angola,"Hungo, Girassol, Cabinda, Dalia, Mondo, Nemba",2009,1132.23
Medium,Abu Dhabi,Murban,2009,1200
High,Vietnam,"Bach Ho, Su Tu Den",2009,223.5
High,United States,"West Texas Intermediate, West Texas Sour",2009,623.77
High,Nigeria,"Agbami, Forcados, Erha, Okono Blend",2009,573
High,Mexico,Maya,2009,1519.9
High,Malaysia,Tapis,2009,170
High,Libya,"Es Sider, El-Sharara, Amna",2009,797.3
High,Iraq,"Basrah Light, Kirkuk",2009,2312
High,Iran,Nowruz-Soroush,2009,150
High,Egypt,Suez Blend,2009,130
High,Ecuador,Oriente,2009,356.82
High,China,"Changqing, Nanhai Light, Panyu",2009,405.6
High,Chad,Doba,2009,120
High,Brazil,Marlim,2009,613.77
High,Australia,Vincent,2009,18
High,Angola,"Kissanje Blend, Plutonio",2009,362.75
High,Algeria,"Algerian Condensate, Saharan Blend",2009,1437
Very High,Venezuela,"Merey-16, Santa Barbara, Hamaca, Boscan",2009,850
Very High,Nigeria,"Qua Iboe, Escravos, Brass River",2009,613.23
Very High,Malaysia,Miri,2009,70
Very High,Libya,"Sirtica, Sarir, Mellitah, Abu Attifel, Brega, Zueitina",2009,615
Very High,Iran,"Iran Light, Iran Heavy",2009,2900
Very High,Indonesia,"Minas, Duri",2009,383
Very High,Gabon,Rabi Light,2009,59
Very High,Colombia,Castilla,2009,190
Very High,Canada,"Cold Lake Blend, Syncrude Sweet Premium",2009,650
Very High,Australia,Northwest Shelf Condensate,2009,122.5
Very Low,Saudi Arabia,"Arab Light, Arab Medium",2010,5354
Very Low,Norway,"Ekofisk Blend, Gullfaks Blend, Heidrun, Statfjord Blend",2010,684.25
Very Low,Kuwait,Kuwait,2010,2051.46
Very Low,Iran,South Pars Condensate,2010,244
Very Low,Egypt,Western Desert Blend,2010,170
Very Low,China,Shengli,2010,532
Very Low,Brazil,Ostra,2010,74.01
Very Low,Abu Dhabi,Upper Zakum,2010,500
Low,United States,"Bakken, Mars Blend",2010,520.41
Low,United Kingdom,Flotta Gold,2010,59.32
Low,Saudi Arabia,Arab Heavy,2010,800
Low,Nigeria,"Akpo Blend, Bonga, Bonny Light",2010,541
Low,Mexico,Isthmus,2010,792.27
Low,Kazakhstan,Tengiz,2010,182.5
Low,Egypt,Belayim Blend,2010,140
Low,Dubai,Dubai,2010,44.6
Low,China,"Daqing, Peng Lai",2010,920
Medium,United States,"Eagle Ford, Alaska North Slope, Thunder Horse",2010,861.51
Medium,United Kingdom,Forties Blend,2010,563.56
Medium,Turkmenistan,Cheleken,2010,47
Medium,Syria,"Souedieh, Syrian Light",2010,283
Medium,Saudi Arabia,Arab Extra Light,2010,1500
Medium,Russia,"Urals, Sokol, Siberian Light",2010,9540
Medium,Qatar,"Qatar Marine, Dukhan",2010,500
Medium,Norway,"Troll, Oseberg, Asgard Blend",2010,589.74
Medium,Nigeria,Amenam Blend,2010,112
Medium,Neutral Zone,Wafra,2010,166
Medium,Libya,Bouri,2010,43.1
Medium,Iran,Foroozan Blend,2010,290
Medium,Ghana,Jubilee,2010,1
Medium,Equatorial Guinea,"Alba Condensate, New Zafiro",2010,161.8
Medium,Ecuador,Napo,2010,113.8
Medium,Denmark,Danish Crude Blend,2010,211.78
Medium,Congo (Brazzaville),Djeno,2010,185
Medium,Colombia,Cusiana,2010,67.3
Medium,Canada,Hibernia,2010,146.36
Medium,Brazil,"Roncador, Tupi, Frade, Jubarte",2010,446.14
Medium,Azerbaijan,Azeri Light,2010,106
Medium,Australia,Gippsland,2010,60
Medium,Argentina,Escalante,2010,157.28
Medium,Angola,"Nemba, Mondo, Dalia, Cabinda, Girassol, Hungo",2010,1161.79
Medium,Abu Dhabi,Murban,2010,1200
High,Vietnam,"Su Tu Den, Bach Ho",2010,210
High,United States,"West Texas Sour, West Texas Intermediate",2010,659.94
High,Nigeria,"Okono Blend, Erha, Forcados, Agbami",2010,617.67
