Country,Sector,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Australia,Industrial,2019,February,Gigawatt-hour,8183.164143
Australia,Household,2019,February,Gigawatt-hour,3147.370821
Australia,Power,2019,March,Gigawatt-hour,8394.285837
Australia,Other,2019,March,Gigawatt-hour,2041.85331
Australia,Industrial,2019,March,Gigawatt-hour,8848.031021
Australia,Household,2019,March,Gigawatt-hour,3403.08885
Australia,Power,2019,April,Gigawatt-hour,8715.051471
Australia,Other,2019,April,Gigawatt-hour,2119.877382
Australia,Industrial,2019,April,Gigawatt-hour,9186.135336
Australia,Household,2019,April,Gigawatt-hour,3533.128977
Australia,Power,2019,May,Gigawatt-hour,10112.405625
Australia,Other,2019,May,Gigawatt-hour,2459.774341
Australia,Industrial,2019,May,Gigawatt-hour,10659.022154
Australia,Household,2019,May,Gigawatt-hour,4099.623906
Australia,Power,2019,June,Gigawatt-hour,10618.614615
Australia,Other,2019,June,Gigawatt-hour,2582.906256
Australia,Industrial,2019,June,Gigawatt-hour,11192.593786
Australia,Household,2019,June,Gigawatt-hour,4304.84376
Australia,Power,2019,July,Gigawatt-hour,10689.983798
Australia,Other,2019,July,Gigawatt-hour,2600.266326
Australia,Industrial,2019,July,Gigawatt-hour,11267.820763
Australia,Household,2019,July,Gigawatt-hour,4333.777213
Australia,Power,2019,August,Gigawatt-hour,11043.789729
Australia,Other,2019,August,Gigawatt-hour,2686.327235
Australia,Industrial,2019,August,Gigawatt-hour,11640.751332
Australia,Household,2019,August,Gigawatt-hour,4477.212054
Australia,Power,2019,September,Gigawatt-hour,9843.727362
Australia,Other,2019,September,Gigawatt-hour,2394.420168
Australia,Industrial,2019,September,Gigawatt-hour,10375.820742
Australia,Household,2019,September,Gigawatt-hour,3990.700287
Australia,Power,2019,October,Gigawatt-hour,9616.923204
Australia,Other,2019,October,Gigawatt-hour,2339.251593
Australia,Industrial,2019,October,Gigawatt-hour,10136.756889
Australia,Household,2019,October,Gigawatt-hour,3898.752648
Australia,Power,2019,November,Gigawatt-hour,8992.826021
Australia,Other,2019,November,Gigawatt-hour,2187.444168
Australia,Industrial,2019,November,Gigawatt-hour,9478.924728
Australia,Household,2019,November,Gigawatt-hour,3645.74028
Australia,Power,2019,December,Gigawatt-hour,9125.223776
Australia,Other,2019,December,Gigawatt-hour,2219.649023
Australia,Industrial,2019,December,Gigawatt-hour,9618.479115
Australia,Household,2019,December,Gigawatt-hour,3699.415041
Bangladesh,Power,2024,January,Gigawatt-hour,9951.850056
Bangladesh,Other,2024,January,Gigawatt-hour,3289.363138
Bangladesh,Industrial,2024,January,Gigawatt-hour,5172.348904
Bangladesh,Household,2024,January,Gigawatt-hour,2275.833518
Bangladesh,Power,2024,February,Gigawatt-hour,11087.928793
Bangladesh,Other,2024,February,Gigawatt-hour,3178.80848
Bangladesh,Industrial,2024,February,Gigawatt-hour,5572.944248
Bangladesh,Household,2024,February,Gigawatt-hour,2452.095469
Bangladesh,Power,2024,March,Gigawatt-hour,12656.051745
Bangladesh,Other,2024,March,Gigawatt-hour,2578.586281
Bangladesh,Industrial,2024,March,Gigawatt-hour,5951.030479
Bangladesh,Household,2024,March,Gigawatt-hour,2618.453411
Bangladesh,Power,2024,April,Gigawatt-hour,15076.660011
Bangladesh,Other,2024,April,Gigawatt-hour,107.562357
Bangladesh,Industrial,2024,April,Gigawatt-hour,5931.336863
Bangladesh,Household,2024,April,Gigawatt-hour,2609.78822
Bangladesh,Power,2024,May,Gigawatt-hour,15408.52664
Bangladesh,Other,2024,May,Gigawatt-hour,1546.690711
Bangladesh,Industrial,2024,May,Gigawatt-hour,6623.131777
Bangladesh,Household,2024,May,Gigawatt-hour,2914.177982
Bangladesh,Power,2024,June,Gigawatt-hour,13069.953763
Bangladesh,Other,2024,June,Gigawatt-hour,1279.738282
Bangladesh,Industrial,2024,June,Gigawatt-hour,5605.348455
Bangladesh,Household,2024,June,Gigawatt-hour,2466.35332
Bangladesh,Power,2024,July,Gigawatt-hour,11882.450246
Bangladesh,Other,2024,July,Gigawatt-hour,1862.577207
Bangladesh,Industrial,2024,July,Gigawatt-hour,5369.151349
Bangladesh,Household,2024,July,Gigawatt-hour,2362.426593
Bangladesh,Power,2024,August,Gigawatt-hour,12668.474398
Bangladesh,Other,2024,August,Gigawatt-hour,2228.924527
Bangladesh,Industrial,2024,August,Gigawatt-hour,5819.296455
Bangladesh,Household,2024,August,Gigawatt-hour,2560.49044
Bangladesh,Power,2024,September,Gigawatt-hour,11858.726979
Bangladesh,Other,2024,September,Gigawatt-hour,2515.744999
Bangladesh,Industrial,2024,September,Gigawatt-hour,5615.028116
Bangladesh,Household,2024,September,Gigawatt-hour,2470.612371
Bangladesh,Power,2024,October,Gigawatt-hour,12864.853701
Bangladesh,Other,2024,October,Gigawatt-hour,3105.746427
Bangladesh,Industrial,2024,October,Gigawatt-hour,6238.515675
Bangladesh,Household,2024,October,Gigawatt-hour,2744.946897
Bangladesh,Power,2024,November,Gigawatt-hour,12353.70578
Bangladesh,Other,2024,November,Gigawatt-hour,3405.304531
Bangladesh,Industrial,2024,November,Gigawatt-hour,6155.863403
Bangladesh,Household,2024,November,Gigawatt-hour,2708.579897
Bangladesh,Power,2024,December,Gigawatt-hour,11852.31983
Bangladesh,Other,2024,December,Gigawatt-hour,4041.487229
Bangladesh,Industrial,2024,December,Gigawatt-hour,6208.518382
Bangladesh,Household,2024,December,Gigawatt-hour,2731.748088
Bangladesh,Power,2023,January,Gigawatt-hour,11975.979991
Bangladesh,Other,2023,January,Gigawatt-hour,2967.955001
Bangladesh,Industrial,2023,January,Gigawatt-hour,5837.474606
Bangladesh,Household,2023,January,Gigawatt-hour,2568.488827
Bangladesh,Power,2023,February,Gigawatt-hour,10418.552063
Bangladesh,Other,2023,February,Gigawatt-hour,2111.079592
Bangladesh,Industrial,2023,February,Gigawatt-hour,4894.387365
Bangladesh,Household,2023,February,Gigawatt-hour,2153.530441
Bangladesh,Power,2023,March,Gigawatt-hour,14223.289783
Bangladesh,Other,2023,March,Gigawatt-hour,2066.330585
Bangladesh,Industrial,2023,March,Gigawatt-hour,6363.132956
Bangladesh,Household,2023,March,Gigawatt-hour,2799.778501
Bangladesh,Power,2023,April,Gigawatt-hour,13970.761016
Bangladesh,Other,2023,April,Gigawatt-hour,1270.951557
Bangladesh,Industrial,2023,April,Gigawatt-hour,5953.793974
Bangladesh,Household,2023,April,Gigawatt-hour,2619.669348
Bangladesh,Power,2023,May,Gigawatt-hour,14219.572437
Bangladesh,Other,2023,May,Gigawatt-hour,1741.138539
Bangladesh,Industrial,2023,May,Gigawatt-hour,6234.652725
Bangladesh,Household,2023,May,Gigawatt-hour,2743.247199
Bangladesh,Power,2023,June,Gigawatt-hour,15339.132012
Bangladesh,Other,2023,June,Gigawatt-hour,1022.48899
Bangladesh,Industrial,2023,June,Gigawatt-hour,6391.258204
Bangladesh,Household,2023,June,Gigawatt-hour,2812.15361
Bangladesh,Power,2023,July,Gigawatt-hour,15572.986685
Bangladesh,Other,2023,July,Gigawatt-hour,636.379411
Bangladesh,Industrial,2023,July,Gigawatt-hour,6331.783631
Bangladesh,Household,2023,July,Gigawatt-hour,2785.984798
Bangladesh,Power,2023,August,Gigawatt-hour,14449.422122
Bangladesh,Other,2023,August,Gigawatt-hour,1329.157299
Bangladesh,Industrial,2023,August,Gigawatt-hour,6163.507586
Bangladesh,Household,2023,August,Gigawatt-hour,2711.943338
Bangladesh,Power,2023,September,Gigawatt-hour,14001.928485
Bangladesh,Other,2023,September,Gigawatt-hour,1625.194769
Bangladesh,Industrial,2023,September,Gigawatt-hour,6104.345021
Bangladesh,Household,2023,September,Gigawatt-hour,2685.911809
Bangladesh,Power,2023,October,Gigawatt-hour,12819.392128
Bangladesh,Other,2023,October,Gigawatt-hour,1812.483065
Bangladesh,Industrial,2023,October,Gigawatt-hour,5715.576248
Bangladesh,Household,2023,October,Gigawatt-hour,2514.853549
Bangladesh,Power,2023,November,Gigawatt-hour,11460.491897
Bangladesh,Other,2023,November,Gigawatt-hour,2753.300378
Bangladesh,Industrial,2023,November,Gigawatt-hour,5552.262607
Bangladesh,Household,2023,November,Gigawatt-hour,2442.995547
Bangladesh,Power,2023,December,Gigawatt-hour,11058.31423
Bangladesh,Other,2023,December,Gigawatt-hour,3492.565005
Bangladesh,Industrial,2023,December,Gigawatt-hour,5683.937201
Bangladesh,Household,2023,December,Gigawatt-hour,2500.932369
Bangladesh,Power,2022,January,Gigawatt-hour,10636.557943
Bangladesh,Other,2022,January,Gigawatt-hour,3609.922021
Bangladesh,Industrial,2022,January,Gigawatt-hour,5744.548372
